acara_sml_id,school_name,school_sector,school_type,school_url,year_range,icsea,icsea_percentile,bottom_sea_quarter,lower_middle_sea_quarter,upper_middle_sea_quarter,top_sea_quarter,teaching_staff,full_time_equivalent_teaching_staff,non_teaching_staff,full_time_equivalent_non_teaching_staff,total_enrolments,girls_enrolments,boys_enrolments,full_time_equivalent_enrolments,indigenous_enrolments,language_background_other_than_english_yes,language_background_other_than_english_no,language_background_other_than_english_not_stated,latitude,longitude,lga_code
48154,Morley Senior High School,Government,Secondary,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4051,7-12,1004.0,48.0,33.0,32.0,24.0,11.0,73.0,70.8,24.0,22.0,1029.0,434.0,595.0,1029.0,2.0,59.0,24.0,17.0,-31.87476036,115.8838756,50420
48155,Central Midlands Senior High School,Government,Secondary,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4052,7-12,946.0,22.0,43.0,35.0,17.0,5.0,20.0,18.7,15.0,11.4,190.0,99.0,91.0,190.0,21.0,11.0,89.0,0.0,-30.64064,116.01416,55600
48156,Hedland Senior High School,Government,Secondary,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4053,7-12,914.0,12.0,43.0,33.0,19.0,5.0,71.0,70.9,37.0,35.2,964.0,470.0,494.0,964.0,34.0,18.0,77.0,5.0,-20.39952,118.59729,57280
48157,Rockingham Senior High School,Government,Secondary,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4054,7-12,967.0,30.0,46.0,34.0,16.0,4.0,74.0,68.3,27.0,22.6,1008.0,491.0,517.0,1008.0,6.0,15.0,8.0,77.0,-32.28475182,115.7369159,57490
48158,Thornlie Senior High School,Government,Secondary,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4055,7-12,969.0,31.0,46.0,33.0,16.0,5.0,82.0,77.7,30.0,25.6,1138.0,568.0,570.0,1138.0,6.0,40.0,1.0,58.0,-32.06545,115.95953,53780
48159,Karratha Senior High School,Government,Secondary,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4056,7-12,938.0,19.0,39.0,36.0,19.0,6.0,100.0,97.2,61.0,51.9,1230.0,596.0,634.0,1230.0,25.0,16.0,80.0,4.0,-20.746398,116.825291,54310
48160,Carine Senior High School,Government,Secondary,http://www.carinehs.wa.edu.au/,7-12,1089.0,82.0,7.0,22.0,34.0,37.0,148.0,132.2,69.0,56.1,2185.0,1085.0,1100.0,2185.0,1.0,19.0,52.0,29.0,-31.85183733,115.7769596,57910
48161,Kelmscott Senior High School,Government,Secondary,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4058,7-12,981.0,37.0,43.0,30.0,19.0,9.0,104.0,96.0,39.0,29.9,1284.0,676.0,608.0,1284.0,5.0,19.0,81.0,0.0,-32.12032668,116.00996448,50210
48162,Beverley District High School,Government,Combined,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4060,K-11,961.0,28.0,45.0,27.0,21.0,7.0,16.0,11.6,12.0,6.8,142.0,77.0,65.0,135.6,12.0,13.0,87.0,0.0,-32.10055556,116.9283333,50560
48163,Boddington District High School,Government,Combined,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4061,K-12,957.0,26.0,49.0,33.0,15.0,3.0,24.0,20.0,15.0,9.8,306.0,146.0,160.0,292.4,7.0,10.0,15.0,75.0,-32.801617,116.467214,50630
