amenity,denomination,name,religion,id,lon,lat
place_of_worship,Unknown,North City Christian Centre,Christian,25359320,115.77895690000003,-31.81483081176471
place_of_worship,Catholic,St Michaels,Christian,25452825,152.9920807,-27.432404659999996
place_of_worship,Anglican,Saint Johns Cathedral,Christian,26384715,153.0301111478261,-27.46399714347826
place_of_worship,Anglican,Saint James Old Cathedral,Christian,26431244,144.95244417647058,-37.81005314117647
place_of_worship,Anglican,Merthyr Uniting Church,Christian,27617694,153.0442768125,-27.468468825000002
place_of_worship,Church Of Christ,Southern Community Church Of Christ,Christian,27859502,145.05708055000002,-37.962520614285715
place_of_worship,Pentecostal,Kingston Christian Centre,Christian,27860881,145.11096224444444,-37.95812047777778
place_of_worship,Catholic,St Peter'S Parish Church,Christian,28063544,144.85893154615385,-37.74475242307692
place_of_worship,Church Of Christ,Discovery Church,Christian,28083868,145.39431235714284,-37.79695381428571
place_of_worship,Baptist,Rowville Baptist,Christian,28118675,145.2498009,-37.92600562857143
place_of_worship,Pentecostal,Australia For Christ Felowship,Christian,28118815,145.23402076923074,-37.91568723846154
place_of_worship,Unknown,Truth And Liberation Concern,Christian,28315613,145.27441103333334,-37.831282
place_of_worship,Unknown,The Revival Fellowship,Christian,28315653,145.30768963999998,-37.80896902
place_of_worship,Christ Scientist,"First Church Of Christ, Scientist",Christian,28485566,153.0168484,-27.46708068421053
place_of_worship,Anglican,St. John'S Anglican Church,Christian,28594716,145.22297858333334,-37.865540366666664
place_of_worship,Pentecostal,South Eastern Christian Centre,Christian,28773394,145.2631855333333,-37.96639411666667
place_of_worship,Pentecostal,Peninsula City Church,Christian,28773446,145.13749702,-38.178411520000004
place_of_worship,Unknown,Welsh Church,Christian,28775707,144.95984248888888,-37.8103533
place_of_worship,Catholic,Our Lady Help Of Christians Church,Christian,29122708,144.97808862857144,-37.77767661428572
place_of_worship,Roman Catholic,Newman Chapel,Christian,29191119,144.963844375,-37.795416725
place_of_worship,Unknown,St Jude'S Parish,Christian,29397023,145.2274253368421,-37.88991138947369
place_of_worship,Catholic,Saint Mary Of The Angels,Christian,30930323,144.36039366,-38.15252304
place_of_worship,Lutheran,St Johns Lutheran Church,Christian,31781546,152.9814462,-27.537718159999997
place_of_worship,Catholic,Our Lady Of Lourdes,Christian,31893920,152.97804588,-27.5606567
place_of_worship,Sunni,Islamic Society Of Darra,Muslim,31896319,152.97056904,-27.5670261
place_of_worship,Anglican,St Thomas Anglican Church,Christian,32256440,152.99036183846152,-27.487412584615388
place_of_worship,Presbyterian,Presbyterian Church,Christian,32807056,144.21579013333334,-37.0640632
place_of_worship,Baptist,Baptist Church,Christian,32807060,144.21639698333334,-37.06346679999999
place_of_worship,Unknown,Brisbane City Church,Christian,32838822,153.04108822857143,-27.440514814285716
place_of_worship,Presbyterian,Banyo Presbyterian Church,Christian,33113152,153.08019614,-27.373565359999997
place_of_worship,Uniting,Toombul District Uniting Church,Christian,33223173,153.08335637142858,-27.378801914285713
place_of_worship,Baptist,Keperra Baptist Church,Christian,34046521,152.9556979909091,-27.4151067
place_of_worship,Uniting,Garden Suburb Uniting Church,Christian,35975424,151.68385214999998,-32.94756363333334
place_of_worship,Uniting,Stephen'S Uniting Church Fijian Congregation,Christian,37439025,153.03067155384616,-27.518944376923077
place_of_worship,Anglican,St Luke'S Anglican Church Ekibin,Christian,37439027,153.03835352,-27.515810679999998
place_of_worship,Evangelical,North Brisbane Church,Christian,37678153,153.0428838181818,-27.34021061818182
place_of_worship,Catholic,Holy Trinity Catholic Church,Christian,37705712,153.08161116000002,-27.37199972
place_of_worship,Catholic,Mary Immaculate Church,Christian,37894703,153.03044370909086,-27.516914700000005
