,Date,Holiday Name,Information,More Information,Jurisdiction
232,2/10/2023,Labour Day,Always on a Monday creating a long weekend. It celebrates the eight-hour working day a victory for workers in the mid-late 19th century.,https://www.cmtedd.act.gov.au/communication/holidays,
233,25/12/2023,Christmas Day ,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,https://www.cmtedd.act.gov.au/communication/holidays,
234,26/12/2023,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,https://www.cmtedd.act.gov.au/communication/holidays,
235,1/01/2023,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,https://www.nsw.gov.au/living-in-nsw/school-holidays,New South Wales
236,2/01/2023,New Year's Day (observed),"As 1 January 2023 falls on a Saturday in 2023, the following Monday is observed as an additional public holiday.",https://www.nsw.gov.au/living-in-nsw/school-holidays,New South Wales
237,26/01/2023,Australia Day,Always celebrated on 26 January,https://www.nsw.gov.au/living-in-nsw/school-holidays,New South Wales
238,7/04/2023,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,https://www.nsw.gov.au/living-in-nsw/school-holidays,New South Wales
239,8/04/2023,Easter Saturday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,https://www.nsw.gov.au/living-in-nsw/school-holidays,New South Wales
240,9/04/2023,Easter Sunday,Public Holiday as part of Easter.,https://www.nsw.gov.au/living-in-nsw/school-holidays,New South Wales
241,10/04/2023,Easter Monday,Public Holiday as part of Easter.,https://www.nsw.gov.au/living-in-nsw/school-holidays,New South Wales
242,25/04/2023,Anzac Day,Celebrated on the 25 April each year.,https://www.nsw.gov.au/living-in-nsw/school-holidays,New South Wales
243,12/06/2023,Queen's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,https://www.nsw.gov.au/living-in-nsw/school-holidays,New South Wales
244,7/08/2023,Bank Holiday,"Applies to banks and certain financial institutions, per the Retail Trading Act 2008",https://www.nsw.gov.au/living-in-nsw/school-holidays,New South Wales
245,2/10/2023,Labour Day,Always on a Monday creating a long weekend. It celebrates the eight-hour working day a victory for workers in the mid-late 19th century.,https://www.nsw.gov.au/living-in-nsw/school-holidays,New South Wales
246,25/12/2023,Christmas Day ,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,https://www.nsw.gov.au/living-in-nsw/school-holidays,New South Wales
247,26/12/2023,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,https://www.nsw.gov.au/living-in-nsw/school-holidays,New South Wales
248,1/01/2023,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,https://nt.gov.au/nt-public-holidays,Northern Territory
